target,window_start,as_of,horizon_days,var_95_pct,var_95_posterior_q05_pct,var_95_posterior_q95_pct,historical_var_95_pct,expected_shortfall_95_pct,es_95_posterior_q05_pct,es_95_posterior_q95_pct,historical_es_95_pct,predictive_return_median_pct,realized_forward_return_pct
EW,2017-05-05,2018-05-10,20,1.818002462387085,0.9360186755657197,2.6752614229917526,2.505167705551683,2.847580545737098,1.6742208600044253,3.8965421915054317,3.151648329173149,1.3536810874938965,0.4431905297671568
VOO,2017-06-06,2018-06-11,20,3.6980983614921565,2.068476364016533,5.18071576952934,4.324144284592681,6.396511713198076,4.050580263137817,8.524848192930222,5.009664204768862,1.947629451751709,0.5619503383746505
GLD,2017-06-06,2018-06-11,20,4.0416547656059265,2.722726985812187,5.253156825900077,4.110313555768637,5.432399358445158,3.8215487003326416,6.768748164176939,4.828314229806815,0.7162809371948242,-3.489412427672234
TLT,2017-06-06,2018-06-11,20,4.513593018054962,3.0017480850219727,5.590516701340675,4.015022689834209,5.82488258369267,4.083376199007034,6.889038532972333,4.695161481916288,0.35793185234069824,2.4441614695040137
EW,2017-06-06,2018-06-11,20,2.09987074136734,1.1757283955812452,2.911744996905327,2.505167705551683,3.1538872397504747,2.002694755792618,4.048305988311767,3.151648329173149,1.035153865814209,-0.17151788491397424
VOO,2017-07-06,2018-07-11,20,3.6562117934226985,1.77281628549099,5.340752050280571,4.324144284592681,6.507429659056167,3.7672072947025304,9.016906559467312,5.009664204768862,2.2408366203308105,3.0818792699010666
GLD,2017-07-06,2018-07-11,20,4.068498015403748,2.5746461898088455,5.113613069057463,3.568055970975865,5.370401796729615,3.6038008332252507,6.546087592840192,4.484893750147094,0.6999969482421875,-2.3206356185846877
TLT,2017-07-06,2018-07-11,20,4.157260358333588,2.5218802988529205,5.338095009326933,4.015022689834209,5.4668696636023615,3.609578967094422,6.63688600063324,4.695161481916288,0.6844818592071533,-2.748237211500981
EW,2017-07-06,2018-07-11,20,1.9267287850379944,0.8509896844625473,2.821025550365447,2.505167705551683,2.9836407823798554,1.6726296246051786,3.8385882675647727,3.151648329173149,1.2282848358154297,-0.6828762614036643
VOO,2017-08-04,2018-08-09,20,3.3961343765258794,1.2659743577241898,5.125605329871174,4.324144284592681,6.259749228289972,3.2541062533855443,8.425829470157622,5.009664204768862,2.5262951850891113,0.8705133531442089
GLD,2017-08-04,2018-08-09,20,4.796175062656403,3.148419752717018,6.0179724246263495,4.019003541353494,6.052532508814087,4.385541617870331,7.32040312886238,4.565735285516604,0.02453327178955078,-1.3160140621831684
TLT,2017-08-04,2018-08-09,20,4.672379791736603,2.989955350756645,5.8373857736587516,4.015022689834209,5.920681221565852,4.078861802816391,7.096053391695022,4.695161481916288,0.11430978775024414,-0.32691499266322976
